gene_id,KO_3D1,KO_3D2,KO_3D3,WT_3D1,WT_3D2,WT_3D3,KO_3D,WT_3D,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_3D1_count,KO_3D2_count,KO_3D3_count,WT_3D1_count,WT_3D2_count,WT_3D3_count,KO_3D1_fpkm,KO_3D2_fpkm,KO_3D3_fpkm,WT_3D1_fpkm,WT_3D2_fpkm,WT_3D3_fpkm
ENSMUSG00000020469,126.8888976,103.821854,159.7050719,3850.392314,4072.511185,2527.382847,130.1386078,3483.428782,-4.743916818,1.09E-76,1.84E-72,Myl7,11,5896637,5898782,-,590,protein_coding,"myosin, light polypeptide 7, regulatory [Source:MGI Symbol;Acc:MGI:107495]",-,151,108,153,3862,3678,2480,12.66399335,10.33617481,16.18788519,384.7912226,404.2011588,250.5053616
ENSMUSG00000029675,8074.671638,6383.121396,7583.381353,33228.82585,35640.56281,33312.53649,7347.058129,34060.64172,-2.212833654,5.95E-40,1.43E-36,Eln,5,134702593,134747323,-,8098,protein_coding,elastin [Source:MGI Symbol;Acc:MGI:95317],-,9609,6640,7265,33329,32188,32688,58.71460709,46.2997247,56.00264545,241.9409658,257.7235241,240.5625026
ENSMUSG00000041220,367.2215117,388.3706392,372.6451677,1436.668908,1514.734992,1566.365902,376.0791062,1505.923267,-2.001647643,6.34E-34,8.90E-31,Elovl6,3,129532355,129638495,+,6431,protein_coding,"ELOVL family member 6, elongation of long chain fatty acids (yeast) [Source:MGI Symbol;Acc:MGI:2156528]",-,437,404,357,1441,1368,1537,3.362394491,3.547243138,3.465296524,13.171959,13.79257737,14.24336863
ENSMUSG00000040170,7.562914429,12.49707502,10.43823999,304.0832873,293.4245416,161.0187459,10.16607648,252.8421916,-4.646131963,1.41E-29,1.48E-26,Fmo2,1,162874317,162898726,-,5609,protein_coding,flavin containing monooxygenase 2 [Source:MGI Symbol;Acc:MGI:1916776],-,9,13,10,305,265,158,0.079396765,0.130871781,0.111292336,3.196533781,3.063361677,1.67876151
ENSMUSG00000040488,1962.156132,1996.648063,1747.361374,6389.737011,7796.234707,8360.745515,1902.05519,7515.572411,-1.982192555,3.16E-28,2.80E-25,Ltbp4,7,27305136,27337692,-,6463,protein_coding,latent transforming growth factor beta binding protein 4 [Source:MGI Symbol;Acc:MGI:1321395],-,2335,2077,1674,6409,7041,8204,17.87715753,18.14639844,16.16858426,58.29361854,70.63794063,75.64998602
ENSMUSG00000070867,55.46137248,65.3693155,27.13942398,500.4911811,478.3373659,460.635906,49.32337065,479.8214843,-3.275315738,4.70E-28,3.66E-25,Trabd2b,4,114406724,114615098,+,6617,protein_coding,TraB domain containing 2B [Source:MGI Symbol;Acc:MGI:3650152],-,66,68,26,502,432,452,0.493547026,0.580277698,0.245280436,4.459718858,4.233118764,4.070939578
ENSMUSG00000020053,2393.242255,2244.666937,2089.735646,8919.111765,10258.78633,13752.83529,2242.548279,10976.91113,-2.291170115,4.79E-28,3.66E-25,Igf1,10,87858265,87937042,+,9904,protein_coding,insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432],-,2848,2335,2002,8946,9265,13495,14.22902333,13.31264512,12.61839557,53.09861108,60.65584161,81.20440967
ENSMUSG00000022754,128.5695453,127.8546906,111.6891679,1031.889188,953.3529446,597.1961082,122.7044679,860.812747,-2.809448815,1.78E-27,1.30E-24,Tmem45a,16,56805161,56886166,-,3129,protein_coding,transmembrane protein 45a [Source:MGI Symbol;Acc:MGI:1913122],-,153,133,107,1035,861,586,2.419533311,2.400126763,2.134660977,19.44463009,17.841667,11.16116193
ENSMUSG00000059878,99.99853523,99.97660018,112.7329919,454.6294394,500.4826143,516.6867352,104.2360424,490.5995963,-2.236110748,6.84E-27,4.60E-24,Zfp422,6,116624016,116628999,-,3625,protein_coding,zinc finger protein 422 [Source:MGI Symbol;Acc:MGI:1914505],zf-C2H2,119,104,108,456,452,507,1.624368984,1.61999409,1.859800846,7.394719943,8.084781086,8.335224561
ENSMUSG00000021469,31.09198154,20.18758273,20.87647998,264.2035119,218.130697,208.9167273,24.05201475,230.4169787,-3.249549951,1.26E-25,7.56E-23,Msx2,13,53466884,53473074,-,3279,protein_coding,msh homeobox 2 [Source:MGI Symbol;Acc:MGI:97169],Homeobox,37,21,20,265,197,205,0.558349389,0.361631273,0.380749442,4.750828535,3.895494993,3.725888041
ENSMUSG00000030748,877.2980737,786.354413,664.9158874,2967.055289,2723.865556,2701.649971,776.189458,2797.523605,-1.848984053,1.47E-24,7.49E-22,Il4ra,7,125552120,125579474,+,6002,protein_coding,"interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]",-,1044,818,637,2976,2460,2651,8.606969135,7.695651891,6.62512593,29.14753516,26.57522542,26.32273993
