query,entrezgene,name,symbol,alias,taxid,MGI
A4GALT,239559,"alpha 1,4-galactosyltransferase",A4galt,,10090,MGI:3512453
AI413582,106672,expressed sequence AI413582,AI413582,"AI854251, Smim29",10090,MGI:2146839
AI467606,101602,expressed sequence AI467606,AI467606,,10090,MGI:2141979
AI662270,100043636,expressed sequence AI662270,AI662270,AW496474,10090,MGI:2144254
AI837181,107242,expressed sequence AI837181,AI837181,"Bles03, N28173",10090,MGI:2147598
AU021092,239691,expressed sequence AU021092,AU021092,,10090,MGI:2146559
AU022754,105975,expressed sequence AU022754,AU022754,,10090,MGI:2146143
AAAS,223921,"achalasia, adrenocortical insufficiency, alacrimia",Aaas,"AAA, ADRACALA, D030041N15Rik, GL003",10090,MGI:2443767
AAMDC,66273,adipogenesis associated Mth938 domain containing,Aamdc,"1810020D17Rik, 1810037D19Rik, LI2",10090,MGI:1913523
AAMP,227290,angio-associated migratory protein,Aamp,"AU040907, Aamp-rs",10090,MGI:107809
AATK,11302,apoptosis-associated tyrosine kinase,Aatk,"AATYK, aatyk1, mKIAA0641",10090,MGI:1197518
ABCA2,11305,"ATP-binding cassette, sub-family A (ABC1), member 2",Abca2,"AI413825, Abc2, D2H0S1474E, mKIAA1062",10090,MGI:99606
ABCA8A,217258,"ATP-binding cassette, sub-family A (ABC1), member 8a",Abca8a,,10090,MGI:2386846
ABCA9,217262,"ATP-binding cassette, sub-family A (ABC1), member 9",Abca9,D630040K07Rik,10090,MGI:2386796
ABCB1B,18669,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",Abcb1b,"Abcb1, Mdr1, Mdr1b, Pgy-1, Pgy1",10090,MGI:97568
ABCB9,56325,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",Abcb9,"TAPL, mKIAA1520",10090,MGI:1861729
ABCC1,17250,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",Abcc1,"Abcc1a, Abcc1b, MRP, Mdrap, Mrp1",10090,MGI:102676
ABCD1,11666,"ATP-binding cassette, sub-family D (ALD), member 1",Abcd1,"ALDP, Ald, Aldgh",10090,MGI:1349215
ABCF1,224742,"ATP-binding cassette, sub-family F (GCN20), member 1",Abcf1,"AU041969, Abc50, D17Wsu166e, GCN20",10090,MGI:1351658
ABHD16A,193742,abhydrolase domain containing 16A,Abhd16a,"AI326074, Bat-5, Bat5, D17H6S82E, NG26",10090,MGI:99476
ABHD8,64296,abhydrolase domain containing 8,Abhd8,"0910001L24Rik, AB030191",10090,MGI:1918946
ABI3BP,320712,ABI family member 3 binding protein,Abi3bp,"5033411B22Rik, AI506287, BG172926, D930038M13Rik, TARSH",10090,MGI:2444583
ABLIM3,319713,"actin binding LIM protein family, member 3",Ablim3,"AW990719, D930036B08Rik",10090,MGI:2442582
ABR,109934,active BCR-related gene,Abr,,10090,MGI:107771
ACAA2,52538,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),Acaa2,"0610011L04Rik, AI255831, AI265397, D18Ertd240e",10090,MGI:1098623
ACAP3,140500,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Acap3,"Centb5, Kiaa1716-hp, mKIAA1716",10090,MGI:2153589
ACAT2,110460,acetyl-Coenzyme A acetyltransferase 2,Acat2,"AW742799, Tcp-1x, Tcp1-rs1",10090,MGI:87871
ACE,11421,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,Ace,"AW208573, CD143",10090,MGI:87874
ACO2,11429,"aconitase 2, mitochondrial",Aco2,"Aco-2, Aco3, D10Wsu183e, Irp1",10090,MGI:87880
ACOX2,93732,"acyl-Coenzyme A oxidase 2, branched chain",Acox2,THCCox,10090,MGI:1934852
ACSL1,14081,acyl-CoA synthetase long-chain family member 1,Acsl1,"Acas, Acas1, Acs, FACS, Facl2",10090,MGI:102797
ACTG1,11465,"actin, gamma, cytoplasmic 1",Actg1,"AL023024, Actg, Actl, E51",10090,MGI:87906
ACTN1,109711,"actinin, alpha 1",Actn1,"3110023F10Rik, Actn1a",10090,MGI:2137706
ACTN4,60595,actinin alpha 4,Actn4,C77391,10090,MGI:1890773
ACY3,71670,aspartoacylase (aminoacylase) 3,Acy3,"0610006H10Rik, AA3, AAIII, AW107362, Acy-3",10090,MGI:1918920
ADAM11,11488,a disintegrin and metallopeptidase domain 11,Adam11,"AW060611, Mdc",10090,MGI:1098667
ADAM15,11490,a disintegrin and metallopeptidase domain 15 (metargidin),Adam15,"AD56, MDC15",10090,MGI:1333882
ADAM19,11492,a disintegrin and metallopeptidase domain 19 (meltrin beta),Adam19,"AL024287, MADDAM, MTLNB, Mltnb",10090,MGI:105377
ADAMTS1,11504,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",Adamts1,"ADAM-TS1, ADAMTS, ADAMTS-1, C3-C5, METH-1",10090,MGI:109249
ADAMTS12,239337,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",Adamts12,"ADAMTS-12, AI605170",10090,MGI:2146046
ADAMTS2,216725,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2",Adamts2,"ADAM-TS 2, ADAM-TS2, ADAMTS-2, PC I-NP, PCINP",10090,MGI:1347356
ADAMTS3,330119,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3",Adamts3,"1100001H14Rik, 6330442E02Rik",10090,MGI:3045353
ADAMTS4,240913,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4",Adamts4,"ADAM-TS4, ADAMTS-2, ADMP-1",10090,MGI:1339949
ADAMTSL4,229595,ADAMTS-like 4,Adamtsl4,"ADAMTSL-4, Tsrc1",10090,MGI:2389008
ADAMTSL5,66548,ADAMTS-like 5,Adamtsl5,"2010109H09Rik, Thsd6",10090,MGI:1913798
ADAP1,231821,ArfGAP with dual PH domains 1,Adap1,"4930431P11Rik, Centa1, GC1L, p42IP4",10090,MGI:2442201
ADARB1,110532,"adenosine deaminase, RNA-specific, B1",Adarb1,"1700057H01Rik, AW124433, AW558573, Adar2, BB220382",10090,MGI:891999
ADAT3,100113398,"adenosine deaminase, tRNA-specific 3",Adat3,A430024H01Rik,10090,MGI:1924344
ADCK5,268822,aarF domain containing kinase 5,Adck5,A230108P17,10090,MGI:2679274
ADCY1,432530,adenylate cyclase 1,Adcy1,"AC1, D11Bwg1392e, I-AC, brl",10090,MGI:99677
ADCY6,11512,adenylate cyclase 6,Adcy6,"AC6, mKIAA0422",10090,MGI:87917
ADCY7,11513,adenylate cyclase 7,Adcy7,AA407758,10090,MGI:102891
ADCY9,11515,adenylate cyclase 9,Adcy9,"AC9, ACtp10, AW125421, D16Wsu65e, mKIAA0520",10090,MGI:108450
ADD2,11519,adducin 2 (beta),Add2,"2900072M03Rik, add97",10090,MGI:87919
ADD3,27360,adducin 3 (gamma),Add3,"AI463285, R75380",10090,MGI:1351615
GPR124,78560,adhesion G protein-coupled receptor A2,Adgra2,"8430414O08Rik, 9530074E10Rik, Gpr124, Tem5, mKIAA1531",10090,MGI:1925810
GPR133,243277,adhesion G protein-coupled receptor D1,Adgrd1,"E230012M21Rik, Gpr133",10090,MGI:3041203
CD97,26364,adhesion G protein-coupled receptor E5,Adgre5,"AA409984, Cd97, TM7LN1",10090,MGI:1347095
GPR116,224792,adhesion G protein-coupled receptor F5,Adgrf5,"8430401C09Rik, 9330185D23, AI528491, Gpr116, mKIAA0758",10090,MGI:2182928
GPR126,215798,adhesion G protein-coupled receptor G6,Adgrg6,"1190004A11Rik, AI449247, AW045736, DREG, Gm222",10090,MGI:1916151
ADM2,223780,adrenomedullin 2,Adm2,"Am2, IMD, Imdn",10090,MGI:2675256
ADO,211488,2-aminoethanethiol (cysteamine) dioxygenase,Ado,Gm237,10090,MGI:2685083
ADRA2A,11551,"adrenergic receptor, alpha 2a",Adra2a,"AW122659, Adra-2, Adra-2a, alpha(2A)AR, alpha2-C10",10090,MGI:87934
ADSL,11564,adenylosuccinate lyase,Adsl,"Adl, Asl",10090,MGI:103202
ADSSL1,11565,adenylosuccinate synthetase like 1,Adssl1,"AI528595, Adss, Adss1",10090,MGI:87947
AEBP1,11568,AE binding protein 1,Aebp1,ACLP,10090,MGI:1197012
AFAP1L2,226250,actin filament associated protein 1-like 2,Afap1l2,"AU041783, C86904, mKIAA1914",10090,MGI:2147658
AGER,11596,advanced glycosylation end product-specific receptor,Ager,RAGE,10090,MGI:893592
AGO2,239528,argonaute RISC catalytic subunit 2,Ago2,"1110029L17Rik, 2310051F07Rik, AI225898, AL022874, AW546247",10090,MGI:2446632
AGPAT1,55979,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",Agpat1,"1-AGP, 1-AGPAT, AW047140",10090,MGI:1932075
AGPAT2,67512,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",Agpat2,"2510002J07Rik, AV000834, BSCL, BSCL1, LPAAB",10090,MGI:1914762
AGPAT4,68262,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",Agpat4,1500003P24Rik,10090,MGI:1915512
AGRN,11603,agrin,Agrn,"Agrin, nmf380",10090,MGI:87961
AGT,11606,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",Agt,"AI265500, AngI, AngII, Aogen, Serpina8",10090,MGI:87963
AIF1L,108897,allograft inflammatory factor 1-like,Aif1l,"2810003C17Rik, AI043124, C87647, Iba2",10090,MGI:1919598
AIM2,383619,absent in melanoma 2,Aim2,"Gm1313, Ifi210",10090,MGI:2686159
AIP,11632,aryl-hydrocarbon receptor-interacting protein,Aip,"AA408703, AW476050, Ara9, D19Bwg1412e, Fkbp16",10090,MGI:109622
AIRE,11634,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy),Aire,,10090,MGI:1338803
AK2,11637,adenylate kinase 2,Ak2,"Ak-2, D4Ertd220e",10090,MGI:87978
AK4,11639,adenylate kinase 4,Ak4,"AK 4, Ak-3, Ak-4, Ak3, Ak3l1",10090,MGI:87979
AKNA,100182,AT-hook transcription factor,Akna,AI597013,10090,MGI:2140340
AKR1C18,105349,"aldo-keto reductase family 1, member C18",Akr1c18,AW146047,10090,MGI:2145420
AKT1,11651,thymoma viral proto-oncogene 1,Akt1,"Akt, LTR-akt, PKB, PKB/Akt, PKBalpha",10090,MGI:87986
AKT1S1,67605,AKT1 substrate 1 (proline-rich),Akt1s1,"1110012J22Rik, AI227026, Lobe, Lobel, PRAS40",10090,MGI:1914855
ALAD,17025,"aminolevulinate, delta-, dehydratase",Alad,"ALADH, Lv",10090,MGI:96853
ALDH16A1,69748,"aldehyde dehydrogenase 16 family, member A1",Aldh16a1,"2410004H02Rik, AI452234",10090,MGI:1916998
ALDH18A1,56454,"aldehyde dehydrogenase 18 family, member A1",Aldh18a1,"2810433K04Rik, AI429789, Pycs",10090,MGI:1888908
