gene_id,KO_3D1,KO_3D2,KO_3D3,WT_3D1,WT_3D2,WT_3D3,KO_3D,WT_3D,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_3D1_count,KO_3D2_count,KO_3D3_count,WT_3D1_count,WT_3D2_count,WT_3D3_count,KO_3D1_fpkm,KO_3D2_fpkm,KO_3D3_fpkm,WT_3D1_fpkm,WT_3D2_fpkm,WT_3D3_fpkm
ENSMUSG00000024713,954.6078657,1074.748452,1035.473407,72.78059008,55.36312106,86.62400887,1021.609908,71.58924,3.831759841,7.64E-64,6.44E-60,Pcsk5,19,17432832,17837632,-,9346,protein_coding,proprotein convertase subtilisin/kexin type 5 [Source:MGI Symbol;Acc:MGI:97515],-,1136,1118,992,73,50,85,6.014482875,6.75466988,6.625773597,0.459157817,0.346882243,0.542014001
ENSMUSG00000031075,602.5121828,729.6369186,706.6688474,37.88578662,44.29049684,43.82155743,679.6059829,41.9992803,4.017354622,4.53E-63,2.54E-59,Ano1,7,144588549,144751974,-,6244,protein_coding,"anoctamin 1, calcium activated chloride channel [Source:MGI Symbol;Acc:MGI:2142149]",-,717,759,677,38,40,43,5.682010073,6.863837344,6.768251228,0.357754909,0.41536982,0.410414709
ENSMUSG00000067276,604.1928305,812.3098765,820.4456633,11.96393262,11.07262421,27.51586164,745.6494567,16.85080616,5.461457208,1.34E-58,5.66E-55,Capn6,X,143802231,143827414,-,7795,protein_coding,calpain 6 [Source:MGI Symbol;Acc:MGI:1100850],-,719,845,786,12,10,27,4.564135286,6.121088959,6.29444036,0.090496134,0.083180537,0.206426287
ENSMUSG00000023043,4171.367469,4079.814338,6251.46193,549.343906,514.8770258,525.8586891,4834.214579,530.0265403,3.188939458,5.98E-48,2.01E-44,Krt18,15,102028180,102032027,+,1437,protein_coding,keratin 18 [Source:MGI Symbol;Acc:MGI:96692],-,4964,4244,5989,551,465,516,170.9309643,166.7656916,260.1646231,22.54030196,20.98137885,21.39982835
ENSMUSG00000047844,419.3215889,382.6027584,668.0473594,12.960927,17.71619874,12.22927184,489.9905689,14.30213253,5.103559577,4.64E-45,1.30E-41,Bex4,X,136138996,136140443,+,837,protein_coding,brain expressed X-linked 4 [Source:MGI Symbol;Acc:MGI:3606746],-,499,398,640,13,16,12,29.49991914,26.85008815,47.73151427,0.913025261,1.239459572,0.854423421
ENSMUSG00000052105,2524.332772,2826.261582,2889.304829,386.8338213,341.0368257,509.5529933,2746.633061,412.4745468,2.73470023,8.15E-40,1.72E-36,Mtcl1,17,66336982,66449750,-,9226,protein_coding,microtubule crosslinking factor 1 [Source:MGI Symbol;Acc:MGI:1915867],-,3004,2940,2768,388,308,500,16.11136053,17.99376242,18.72851452,2.472197565,2.164587306,3.22978721
ENSMUSG00000017639,422.6828842,465.2757162,407.0913596,24.92485962,26.57429811,44.84066341,431.68332,32.11327371,3.746790149,1.81E-39,3.39E-36,Rab11fip4,11,79591212,79698023,+,7451,protein_coding,RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920],-,503,484,390,25,24,44,3.340405266,3.667911936,3.267388229,0.197237888,0.208850019,0.351929335
ENSMUSG00000030541,880.659369,911.3251632,1220.230255,85.74151708,89.68825611,43.82155743,1004.071596,73.08377687,3.781449126,3.88E-39,6.54E-36,Idh2,7,80094846,80115392,-,2588,protein_coding,"isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:MGI Symbol;Acc:MGI:96414]",-,1048,948,1169,86,81,43,20.0374637,20.68388751,28.19687218,1.953435511,2.029357626,0.990196849
ENSMUSG00000027239,484.0265234,388.3706392,1040.692527,6.978960693,6.643574527,15.2865898,637.6965632,9.636375006,6.042825938,3.91E-38,5.98E-35,Mdk,2,91929805,91932297,-,1324,protein_coding,midkine [Source:MGI Symbol;Acc:MGI:96949],-,576,404,997,7,6,15,21.52683769,17.22984941,47.00649501,0.310795666,0.293833363,0.67518165
ENSMUSG00000038587,1479.810257,1430.434433,677.4417754,53.83769677,78.6156319,93.75775077,1195.895488,75.40369315,3.988412679,4.37E-33,5.66E-30,Akap12,10,4266380,4359470,+,6461,protein_coding,A kinase (PRKA) anchor protein (gravin) 12 [Source:MGI Symbol;Acc:MGI:1932576],-,1761,1488,649,54,71,92,13.48668931,13.00442912,6.270405863,0.491313749,0.712518998,0.848604719
