gene_id,KO_bTMR1,KO_bTMR2,WT_bTMR1,WT_bTMR2,WT_bTMR3,KO_bTMR,WT_bTMR,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_bTMR1_count,KO_bTMR2_count,WT_bTMR1_count,WT_bTMR2_count,WT_bTMR3_count,KO_bTMR1_fpkm,KO_bTMR2_fpkm,WT_bTMR1_fpkm,WT_bTMR2_fpkm,WT_bTMR3_fpkm
ENSMUSG00000022040,2132.433136,2144.640872,63.04261524,67.08388594,39.32643384,2138.537004,56.48431167,5.243450657,1.11E-67,2.20E-63,Ephx2,14,66084374,66124500,-,2484,protein_coding,"epoxide hydrolase 2, cytoplasmic [Source:MGI Symbol;Acc:MGI:99500]",-,2243,2345,64,61,38,50.42475211,50.91499585,1.460311502,1.580360927,0.902694103
ENSMUSG00000034648,1703.664815,927.3628332,18.7157764,19.79524503,11.38396769,1315.513824,16.63166304,6.306593855,2.20E-47,2.19E-43,Lrrn1,6,107529768,107570214,+,3700,protein_coding,"leucine rich repeat protein 1, neuronal [Source:MGI Symbol;Acc:MGI:106038]",-,1792,1014,19,18,11,27.04595811,14.78055317,0.291050936,0.313075311,0.175428262
ENSMUSG00000039153,574.2263104,526.7859881,14.77561295,19.79524503,14.48868615,550.5061493,16.35318138,5.077874044,4.00E-45,2.65E-41,Runx2,17,44495987,44814797,-,8837,protein_coding,runt related transcription factor 2 [Source:MGI Symbol;Acc:MGI:99829],Runt,604,576,15,18,14,3.816789189,3.515378446,0.096206303,0.131082794,0.093482815
ENSMUSG00000021319,3714.407607,1965.387306,84.71351423,98.97622515,105.5604277,2839.897457,96.41672236,4.880865926,2.41E-43,1.20E-39,Sfrp4,13,19623104,19632994,+,4179,protein_coding,secreted frizzled-related protein 4 [Source:MGI Symbol;Acc:MGI:892010],-,3907,2149,86,90,102,52.20800883,27.73438254,1.166388432,1.385951964,1.440245081
ENSMUSG00000028036,1165.565325,666.7135162,4.925204316,4.39894334,0,916.1394208,3.108049219,8.201735456,7.43E-37,2.95E-33,Ptgfr,3,151796502,151837630,-,6778,protein_coding,prostaglandin F receptor [Source:MGI Symbol;Acc:MGI:97796],-,1226,729,5,4,0,10.10078194,5.80070021,0.041810519,0.037978383,0
ENSMUSG00000005268,2094.404904,1396.531604,15.76065381,50.58784841,43.46605846,1745.468254,36.60485356,5.580193681,7.09E-32,2.35E-28,Prlr,15,10177238,10349180,+,15339,protein_coding,prolactin receptor [Source:MGI Symbol;Acc:MGI:97763],-,2203,1527,16,46,42,8.020169365,5.369037617,0.059120767,0.192991786,0.161570044
ENSMUSG00000019301,322.2892703,315.5228574,19.70081726,12.09709419,16.55849846,318.9060639,16.1188033,4.299990472,2.25E-27,6.39E-24,Hsd17b1,11,101078411,101080527,+,1339,protein_coding,hydroxysteroid (17-beta) dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:105077],-,339,345,20,11,16,14.13790995,13.89610142,0.84657715,0.528676673,0.705095602
ENSMUSG00000029055,368.873855,256.991081,9.850408632,5.498679175,4.139624615,312.932468,6.496237474,5.579641619,1.37E-25,3.41E-22,Plch2,4,154983115,155056784,-,8112,protein_coding,"phospholipase C, eta 2 [Source:MGI Symbol;Acc:MGI:2443078]",-,388,281,10,5,4,2.67097531,1.868240726,0.069869749,0.039666155,0.029096493
ENSMUSG00000032051,2863.525906,2283.653841,500.4007585,493.7813899,550.5700738,2573.589873,514.9174074,2.321288975,2.25E-25,4.96E-22,Fdx1,9,51943306,51963556,-,3104,protein_coding,ferredoxin 1 [Source:MGI Symbol;Acc:MGI:103224],-,3012,2497,508,449,532,54.18752869,43.38616734,9.275965469,9.308992243,10.11343109
ENSMUSG00000001864,266.1976274,348.4469817,11.82049036,15.39630169,7.244343077,307.3223045,11.48704504,4.746558843,1.31E-24,2.61E-21,Aif1l,2,31950139,31973442,+,4032,protein_coding,allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598],-,280,381,12,14,7,3.877962434,5.096346048,0.168685536,0.223452672,0.102443903
