gene_id,KO_bTMR1,KO_bTMR2,KO_3D1,KO_3D2,KO_3D3,KO_bTMR,KO_3D,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,KO_bTMR1_count,KO_bTMR2_count,KO_3D1_count,KO_3D2_count,KO_3D3_count,KO_bTMR1_fpkm,KO_bTMR2_fpkm,KO_3D1_fpkm,KO_3D2_fpkm,KO_3D3_fpkm
ENSMUSG00000019230,5528.32359,9552.914412,24.9656728,18.31307683,28.27630042,7540.619001,23.85168335,8.307165268,1.00E-112,2.10E-108,Lhx9,1,138825186,138848577,-,9494,protein_coding,LIM homeobox protein 9 [Source:MGI Symbol;Acc:MGI:1316721],Homeobox,5639,9943,28,18,25,33.16797497,56.48363907,0.145933347,0.10705609,0.164377162
ENSMUSG00000004655,3286.210441,2938.988754,26.74893514,16.27829051,14.70367622,3112.599598,19.24363396,7.317990686,1.57E-104,1.65E-100,Aqp1,6,55336432,55348555,+,2627,protein_coding,aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201],-,3352,3059,30,16,13,71.25412757,62.80205594,0.565076075,0.34391254,0.308911429
ENSMUSG00000018339,3049.940537,3649.95694,4.458155857,7.121752099,3.39315605,3349.948738,4.991021336,9.383518569,1.74E-91,1.02E-87,Gpx3,11,54902453,54910377,+,1813,protein_coding,glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102],-,3111,3799,5,7,3,95.8226764,113.0123606,0.13646395,0.218015985,0.103293774
ENSMUSG00000019970,2041.136676,1892.712601,32.99035334,23.40004261,30.53840445,1966.924638,28.9762668,6.082037463,2.03E-91,1.02E-87,Sgk1,10,21882184,21999903,+,4903,protein_coding,serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062],-,2082,1970,37,23,27,23.71291376,21.66999395,0.373409677,0.264882974,0.343757805
ENSMUSG00000032281,3388.169237,2572.936216,29.42382866,21.3652563,37.32471655,2980.552726,29.37126717,6.670769433,2.42E-91,1.02E-87,Acsbg1,9,54604877,54661870,-,3604,protein_coding,acyl-CoA synthetase bubblegum family member 1 [Source:MGI Symbol;Acc:MGI:2385656],-,3456,2678,33,21,33,53.5494533,40.07561978,0.453080004,0.32902024,0.571583725
ENSMUSG00000020140,3798.945542,2864.048865,7.133049372,4.069572628,3.39315605,3331.497203,4.86525935,9.383351404,3.61E-87,1.26E-83,Lgr5,10,115450311,115587780,-,10264,protein_coding,leucine rich repeat containing G protein coupled receptor 5 [Source:MGI Symbol;Acc:MGI:1341817],-,3875,2981,8,4,3,21.08245361,15.66389596,0.038567286,0.022005511,0.018245481
ENSMUSG00000036053,2228.387927,2534.505503,7.133049372,7.121752099,3.39315605,2381.446715,5.882652507,8.633781015,4.82E-87,1.45E-83,Fmnl2,2,52857860,53133804,+,5636,protein_coding,formin-like 2 [Source:MGI Symbol;Acc:MGI:1918659],-,2273,2638,8,7,3,22.52135628,25.24400537,0.070236804,0.070131828,0.033227752
ENSMUSG00000022040,2198.976736,2253.000533,32.99035334,18.31307683,20.3589363,2225.988634,23.88745549,6.527087669,1.06E-86,2.79E-83,Ephx2,14,66084374,66124500,-,2484,protein_coding,"epoxide hydrolase 2, cytoplasmic [Source:MGI Symbol;Acc:MGI:99500]",-,2243,2345,37,18,18,50.42475211,50.91499585,0.737048167,0.409174929,0.452346891
ENSMUSG00000031734,2114.664654,2109.846128,24.9656728,34.59136734,40.7178726,2112.255391,33.42497091,5.993328225,1.91E-86,4.45E-83,Irx3,8,91798525,91802067,-,2762,protein_coding,Iroquois related homeobox 3 [Source:MGI Symbol;Acc:MGI:1197522],Homeobox,2157,2196,28,34,36,43.6106501,42.88082366,0.501626065,0.695093688,0.813634814
ENSMUSG00000030268,1144.095341,1266.291984,13.37446757,15.26089736,12.44157218,1205.193663,13.69231237,6.457804163,2.18E-75,4.57E-72,Bcat1,6,144993835,145076184,-,9322,protein_coding,"branched chain aminotransferase 1, cytosolic [Source:MGI Symbol;Acc:MGI:104861]",-,1167,1318,15,15,11,6.990815609,7.62536732,0.07962105,0.090859483,0.073660436
ENSMUSG00000035493,1994.07877,1656.363718,36.55687803,27.46961524,19.22788428,1825.221244,27.75145918,6.024524376,5.17E-72,9.86E-69,Tgfbi,13,56609523,56639562,+,3771,protein_coding,"transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]",-,2034,1724,41,27,17,30.12038412,24.65671335,0.537988587,0.404292173,0.281412306
